CrossName,Female,Male,Generation,Cross,Replicate,DateStarted,DateEclosed,Gender,WT,Ser/Sb,Tm6B,Tm6B+Ser/Sb,Notes
N1,Hand-Gal4/Tm3-ser,31039/Tm6B,1,N,1,6/3/2013,6/18/2013,Female,1,1,2,3,
N1,Hand-Gal4/Tm3-ser,31039/Tm6B,1,N,1,6/3/2013,6/18/2013,Male,8,5,2,4,
N2,Hand-Gal4/Tm3-ser,31039/Tm6B,2,N,1,6/7/2013,6/18/2013,Female,11,8,3,1,
N2,Hand-Gal4/Tm3-ser,31039/Tm6B,2,N,1,6/7/2013,6/18/2013,Male,2,3,0,0,
O1,Hand-Gal4/Tm3-ser,31528/Tm6B,1,O,1,6/5/2013,6/17/2013,Female,2,4,4,1,
O1,Hand-Gal4/Tm3-ser,31528/Tm6B,1,O,1,6/5/2013,6/17/2013,Male,4,4,4,0,
O1,Hand-Gal4/Tm3-ser,31528/Tm6B,1,O,1,6/5/2013,6/18/2013,Female,2,4,3,5,
O1,Hand-Gal4/Tm3-ser,31528/Tm6B,1,O,1,6/5/2013,6/18/2013,Male,5,3,4,0,
P1,Hand-Gal4/Tm3-ser,35144/Tm6B,1,P,1,6/10/2013,6/19/2013,Female,6,1,6,1,
P1,Hand-Gal4/Tm3-ser,35144/Tm6B,1,P,1,6/10/2013,6/19/2013,Male,3,1,1,1,
O1,Hand-Gal4/Tm3-ser,31528/Tm6B,1,O,1,6/5/2013,6/20/2013,Female,5,4,2,5,
O1,Hand-Gal4/Tm3-ser,31528/Tm6B,1,O,1,6/5/2013,6/20/2013,Male,3,9,6,2,
M3,Hand-Gal4/Tm3-ser,34814/Tm6B,3,M,1,6/10/2013,6/21/2013,Female,3,8,1,3,
M3,Hand-Gal4/Tm3-ser,34814/Tm6B,3,M,1,6/10/2013,6/21/2013,Male,0,2,0,1,
M3,Hand-Gal4/Tm3-ser,34814/Tm6B,3,M,1,6/10/2013,6/23/2013,Female,4,2,8,6,
M3,Hand-Gal4/Tm3-ser,34814/Tm6B,3,M,1,6/10/2013,6/23/2013,Male,1,4,1,3,
