"","Gender","Gene","UAS","Driver","Age"
"392","male","Tsc1","31039","24B-Gal4",53
"393","female","Tsc1","31039","24B-Gal4",74
"394","female","Tsc1","31039","24B-Gal4",74
"395","female","Tsc1","31039","24B-Gal4",74
"396","female","Tsc1","31039","24B-Gal4",74
"397","female","Tsc1","31039","24B-Gal4",74
"398","female","Tsc1","31039","Hand-Gal4",93
"399","female","Tsc1","31039","Hand-Gal4",93
"400","female","Tsc1","31039","Hand-Gal4",93
"401","female","Tsc1","31039","Hand-Gal4",93
"402","female","Tsc1","31039","24B-Gal4",40
"403","female","Tsc1","31039","24B-Gal4",40
"404","female","Tsc1","31039","24B-Gal4",40
"405","female","Tsc1","31039","24B-Gal4",40
"406","female","Tsc1","31039","24B-Gal4",40
"407","female","Tsc1","31039","24B-Gal4",40
"408","female","Tsc1","31039","24B-Gal4",26
"409","female","Tsc1","31039","24B-Gal4",26
"410","female","Tsc1","31039","24B-Gal4",26
"411","female","Tsc1","31039","24B-Gal4",26
"412","female","Tsc1","31039","24B-Gal4",26
"413","female","Tsc1","31039","24B-Gal4",26
"414","female","Tsc1","31039","24B-Gal4",43
"415","female","Tsc1","31039","24B-Gal4",43
"416","female","Tsc1","31039","24B-Gal4",43
"417","female","Tsc1","31039","24B-Gal4",43
"418","female","Tsc1","31039","24B-Gal4",43
"419","female","Tsc1","31039","24B-Gal4",43
"420","male","Tsc1","31039","24B-Gal4",74
"421","male","Tsc1","31039","24B-Gal4",74
"422","male","Tsc1","31039","24B-Gal4",74
"423","male","Tsc1","31039","24B-Gal4",74
"424","male","Tsc1","31039","24B-Gal4",74
"425","male","Tsc1","31039","24B-Gal4",74
"426","male","Tsc1","31039","24B-Gal4",51
"427","male","Tsc1","31039","24B-Gal4",51
"428","male","Tsc1","31039","24B-Gal4",51
"429","male","Tsc1","31039","24B-Gal4",51
"430","male","Tsc1","31039","24B-Gal4",51
"431","male","Tsc1","31039","24B-Gal4",51
"432","female","Tsc1","31039","24B-Gal4",58
"433","female","Tsc1","31039","24B-Gal4",58
"434","female","Tsc1","31039","24B-Gal4",58
"435","female","Tsc1","31039","24B-Gal4",58
"436","female","Tsc1","31039","24B-Gal4",58
"437","female","Tsc1","31039","24B-Gal4",58
"438","female","Tsc1","31039","24B-Gal4",5
"439","female","Tsc1","31039","24B-Gal4",5
"440","female","Tsc1","31039","24B-Gal4",5
"441","female","Tsc1","31039","24B-Gal4",5
"442","female","Tsc1","31039","24B-Gal4",5
"443","female","Tsc1","31039","24B-Gal4",5
"444","male","Tsc1","31039","Hand-Gal4",63
"445","female","Tsc1","31039","24B-Gal4",68
"446","female","Tsc1","31039","24B-Gal4",68
"447","female","Tsc1","31039","24B-Gal4",68
"448","female","Tsc1","31039","24B-Gal4",68
"449","female","Tsc1","31039","24B-Gal4",68
"450","female","Tsc1","31039","24B-Gal4",68
"451","male","Tsc1","31039","24B-Gal4",56
"452","male","Tsc1","31039","24B-Gal4",56
"453","male","Tsc1","31039","24B-Gal4",56
"454","male","Tsc1","31039","24B-Gal4",56
"455","male","Tsc1","31039","24B-Gal4",56
"456","male","Tsc1","31039","24B-Gal4",56
"457","male","Tsc1","31039","24B-Gal4",77
"458","male","Tsc1","31039","24B-Gal4",77
"459","male","Tsc1","31039","24B-Gal4",77
"460","male","Tsc1","31039","24B-Gal4",77
"461","male","Tsc1","31039","24B-Gal4",77
"462","male","Tsc1","31039","24B-Gal4",77
"463","male","Tsc1","31039","24B-Gal4",53
"464","male","Tsc1","31039","24B-Gal4",53
"465","male","Tsc1","31039","24B-Gal4",53
"466","male","Tsc1","31039","24B-Gal4",53
"467","male","Tsc1","31039","24B-Gal4",53
"468","male","Tsc1","31039","24B-Gal4",53
"469","female","Tsc1","31039","24B-Gal4",59
"470","female","Tsc1","31039","24B-Gal4",59
"471","female","Tsc1","31039","24B-Gal4",59
"472","female","Tsc1","31039","24B-Gal4",59
"473","female","Tsc1","31039","24B-Gal4",59
"474","female","Tsc1","31039","24B-Gal4",59
"475","female","Tsc1","31039","24B-Gal4",67
"476","female","Tsc1","31039","24B-Gal4",67
"477","female","Tsc1","31039","24B-Gal4",67
"478","female","Tsc1","31039","24B-Gal4",67
"479","female","Tsc1","31039","24B-Gal4",67
"480","female","Tsc1","31039","24B-Gal4",67
"481","female","Tsc1","31039","24B-Gal4",64
"482","female","Tsc1","31039","24B-Gal4",64
"483","female","Tsc1","31039","24B-Gal4",64
"484","female","Tsc1","31039","24B-Gal4",64
"485","female","Tsc1","31039","24B-Gal4",64
"486","female","Tsc1","31039","24B-Gal4",64
