CrossName,Gender,Phenotype,Birth.Date,Death.Date,Accidental,Notes
SPIRALSPIRAL2,MALE,SB,7/31/2013,9/10/2013,FALSE,
CRESENT2,MALE,SB,7/29/2013,9/10/2013,FALSE,
SPIRALSPIRAL2,FEmale,SB,7/31/2013,9/10/2013,FALSE,
SPIRAL1,MALE,SB,7/25/2013,9/10/2013,FALSE,
SPIRAL1,MALE,SB,7/25/2013,9/10/2013,FALSE,
WAVE1,MALE,SB,7/26/2013,9/10/2013,FALSE,
WAVE1,MALE,SB,7/26/2013,9/10/2013,FALSE,
WAVE1,MALE,SB,7/26/2013,9/10/2013,FALSE,
CRESENTCRESENT1,MALE,WT,7/29/2013,9/10/2013,FALSE,
WAVE1,MALE,SB,7/28/2013,9/10/2013,FALSE,
CRESENTCRESENT1,FEmale,SB,7/27/2013,9/10/2013,FALSE,
HEART1,MALE,WT,7/28/2013,9/10/2013,FALSE,
HEART1,MALE,WT,7/28/2013,9/10/2013,FALSE,
HEART1,MALE,WT,7/28/2013,9/10/2013,FALSE,
CRESENTCRESENT1,MALE,WT,7/27/2013,9/10/2013,FALSE,
SPIRAL1,MALE,WT,7/25/2013,9/10/2013,FALSE,
SUN1,MALE,WT,7/25/2013,9/10/2013,FALSE,
SUN1,MALE,WT,7/25/2013,9/10/2013,FALSE,
HEART1,FEmale,SB,7/25/2013,9/10/2013,FALSE,
WAVEWAVE1,MALE,SB,7/30/2013,9/10/2013,FALSE,
WAVEWAVE1,MALE,SB,7/30/2013,9/10/2013,FALSE,
WAVEWAVE1,MALE,SB,7/30/2013,9/10/2013,FALSE,
WAVEWAVE1,MALE,SB,7/30/2013,9/10/2013,FALSE,
WAVEWAVE1,MALE,SB,7/30/2013,9/10/2013,FALSE,
WAVEWAVE1,MALE,SB,7/30/2013,9/10/2013,FALSE,
WAVEWAVE1,MALE,SB,7/30/2013,9/10/2013,FALSE,
SPIRALSPIRALSPIRAL2,FEmale,WT,8/23/2013,9/10/2013,FALSE,
SUNSUN2,MALE,TM6B,7/30/2013,9/10/2013,FALSE,
SUNSUN2,MALE,TM6B,7/30/2013,9/10/2013,FALSE,
WAVEWAVE2,FEmale,SB,7/30/2013,9/10/2013,FALSE,
SUNSUN2,MALE,SB,7/30/2013,9/10/2013,FALSE,
SUNSUN2,MALE,SB,7/30/2013,9/10/2013,FALSE,
SUNSUN2,MALE,SB,7/31/2013,9/10/2013,FALSE,
SUNSUN2,MALE,SB,7/31/2013,9/10/2013,FALSE,
WAVE1,MALE,SB,7/30/2013,9/13/2013,FALSE,
WAVEWAVE1,MALE,WT,7/27/2013,9/13/2013,FALSE,
HEARTHEART1,MALE,WT,7/27/2013,9/13/2013,FALSE,
WAVE1,MALE,WT,7/30/2013,9/13/2013,FALSE,
SPIRALSPIRAL2,MALE,SB,7/31/2013,9/13/2013,FALSE,
CRESENTCRESENT1,MALE,SB,7/27/2013,9/13/2013,FALSE,
CRESENTCRESENT1,MALE,SB,7/27/2013,9/13/2013,FALSE,
CRESENTCRESENT1,MALE,SB,7/27/2013,9/13/2013,FALSE,
SUNSUN2,FEmale,WT,7/31/2013,9/13/2013,FALSE,
SUN2,MALE,WT,8/1/2013,9/13/2013,FALSE,
HEART1,MALE,WT,7/27/2013,9/13/2013,FALSE,
HEART1,MALE,WT,7/27/2013,9/13/2013,FALSE,
WAVE2,MALE,WT,7/30/2013,9/13/2013,FALSE,
WAVE2,MALE,WT,7/30/2013,9/13/2013,FALSE,
CRESENTCRESENT2,MALE,SB,7/30/2013,9/13/2013,FALSE,
WAVEWAVE1,MALE,SB,7/27/2013,9/13/2013,FALSE,
WAVE1,MALE,WT,7/28/2013,9/13/2013,FALSE,
WAVE2,MALE,SB,7/30/2013,9/13/2013,FALSE,
SUN2,MALE,SB,8/1/2013,9/13/2013,FALSE,
