CrossName,Female,Male,Generation,Cross,Replicate,DateStarted,DateEclosed,Gender,WT,Cyo/Sb,Cyo,Sb,Cyo+Sb,Notes
3E1,Mhc-GAL4/TM6C,31529/III,1,3E,1,,6/17/2014,Female,13,11,,,,
3E2,Mhc-GAL4/TM6C,31529/III,2,3E,1,,6/17/2014,Male,9,7,,,,
3E2,Mhc-GAL4/TM6C,31529/III,2,3E,1,,6/17/2014,Female,11,13,,,,
3A3,Mhc-GAL4/TM6C,36304/III,3,3A,1,,6/18/2014,Male,4,4,,,,
3A3,Mhc-GAL4/TM6C,36304/III,3,3A,1,,6/18/2014,Female,6,2,,,,
3A4,Mhc-GAL4/TM6C,36304/III,4,3A,1,,6/18/2014,Male,11,12,,,,
3A4,Mhc-GAL4/TM6C,36304/III,4,3A,1,,6/18/2014,Female,9,8,,,,
3B4,Mhc-GAL4/TM6C,31528/III,4,3B,1,,6/18/2014,Male,7,5,,,,
3B4,Mhc-GAL4/TM6C,31528/III,4,3B,1,,6/18/2014,Female,6,7,,,,
5AA2,"24B-GAL4/Tm3,sb",36304/III,2,5A,2,,6/18/2014,Male,7,7,,,,
5AA2,"24B-GAL4/Tm3,sb",36304/III,2,5A,2,,6/18/2014,Female,10,6,,,,
5AAA1,"24B-GAL4/Tm3,sb",36304/III,1,5A,3,,6/18/2014,Male,6,11,,,,
5AAA1,"24B-GAL4/Tm3,sb",36304/III,1,5A,3,,6/18/2014,Female,7,5,,,,
3D3,Mhc-GAL4/TM6C,41912/II,3,3D,1,,6/23/2014,Male,8,7,,,,
3D3,Mhc-GAL4/TM6C,41912/II,3,3D,1,,6/23/2014,Female,6,7,,,,
3D4,Mhc-GAL4/TM6C,41912/II,4,3D,1,,6/23/2014,Male,10,5,,,,
3D4,Mhc-GAL4/TM6C,41912/II,4,3D,1,,6/23/2014,Female,13,6,,,,
4AA3,Mef-GAL4,32371/III,3,4A,2,,6/23/2014,Male,9,0,,,,
4AA3,Mef-GAL4,32371/III,3,4A,2,,6/23/2014,Female,5,0,,,,
4BB1,Mef-GAL4,36304/III,1,4B,2,,6/23/2014,Male,25,0,,,,
4BB1,Mef-GAL4,36304/III,1,4B,2,,6/23/2014,Female,24,0,,,,
4AAA1,Mef-GAL4,32371/III,1,4A,3,,6/23/2014,Male,19,0,,,,
4AAA1,Mef-GAL4,32371/III,1,4A,3,,6/23/2014,Female,22,0,,,,
3B5,Mhc-GAL4/TM6C,31528/III,5,3B,1,,6/24/2014,Male,12,8,,,,
3B5,Mhc-GAL4/TM6C,31528/III,5,3B,1,,6/24/2014,Female,18,3,,,,
3C4,Mhc-GAL4/TM6C,34814/III,4,3C,1,,6/24/2014,Male,13,7,,,,eye color did not correspond to wing type
3C4,Mhc-GAL4/TM6C,34814/III,4,3C,1,,6/24/2014,Female,2,13,,,,eye color did not correspond to wing type
3C5,Mhc-GAL4/TM6C,34814/III,5,3C,1,,6/24/2014,Male,7,12,,,,eye color did not correspond to wing type
3C5,Mhc-GAL4/TM6C,34814/III,5,3C,1,,6/24/2014,Female,3,11,,,,eye color did not correspond to wing type
5AA2,"24B-GAL4/Tm3,sb",36304/III,2,5A,2,,6/24/2014,Male,6,4,,,,
5AA2,"24B-GAL4/Tm3,sb",36304/III,2,5A,2,,6/24/2014,Female,4,7,,,,
5AA3,"24B-GAL4/Tm3,sb",36304/III,3,5A,2,,6/24/2014,Male,9,7,,,,
5AA3,"24B-GAL4/Tm3,sb",36304/III,3,5A,2,,6/24/2014,Female,3,5,,,,
5AAA1,"24B-GAL4/Tm3,sb",36304/III,1,5A,3,,6/24/2014,Male,10,17,,,,
5AAA1,"24B-GAL4/Tm3,sb",36304/III,1,5A,3,,6/24/2014,Female,10,9,,,,
5AAA2,"24B-GAL4/Tm3,sb",36304/III,2,5A,3,,6/24/2014,Male,7,6,,,,
5AAA2,"24B-GAL4/Tm3,sb",36304/III,2,5A,3,,6/24/2014,Female,7,12,,,,
3E2,Mhc-GAL4/TM6C,31529/III,2,3E,1,,6/24/2014,Male,14,7,,,,
3E2,Mhc-GAL4/TM6C,31529/III,2,3E,1,,6/24/2014,Female,5,4,,,,
3AA1,Mhc-GAL4/TM6C,36304/III,1,3A,2,,6/24/2014,Male,2,7,,,,
3AA1,Mhc-GAL4/TM6C,36304/III,1,3A,2,,6/24/2014,Female,5,2,,,,
4BB1,Mef-GAL4,36304/III,1,4B,2,,6/24/2014,Male,13,0,,,,
4BB1,Mef-GAL4,36304/III,1,4B,2,,6/24/2014,Female,10,0,,,,
3D4,Mhc-GAL4/TM6C,41912/II,4,3D,1,,6/25/2014,Male,4,9,,,,
3D4,Mhc-GAL4/TM6C,41912/II,4,3D,1,,6/25/2014,Female,8,4,,,,
5AAA2,"24B-GAL4/Tm3,sb",36304/III,2,5A,3,,6/25/2014,Male,8,4,,,,
5AAA2,"24B-GAL4/Tm3,sb",36304/III,2,5A,3,,6/25/2014,Female,5,5,,,,
3E3,Mhc-GAL4/TM6C,31529/III,3,3E,1,,6/25/2014,Male,8,4,,,,
3E3,Mhc-GAL4/TM6C,31529/III,3,3E,1,,6/25/2014,Female,8,8,,,,
3AA2,Mhc-GAL4/TM6C,36304/III,2,3A,2,,6/25/2014,Male,10,8,,,,
3AA2,Mhc-GAL4/TM6C,36304/III,2,3A,2,,6/25/2014,Female,5,6,,,,
4BB1,Mef-GAL4,36304/III,1,4B,2,,6/25/2014,Male,12,0,,,,
4BB1,Mef-GAL4,36304/III,1,4B,2,,6/25/2014,Female,7,0,,,,
4AAA1,Mef-GAL4,32371/III,1,4A,3,,6/25/2014,Male,14,0,,,,
4AAA1,Mef-GAL4,32371/III,1,4A,3,,6/25/2014,Female,13,0,,,,
1A1,Hand-GAL4,36304/III,1,1A,1,,6/25/2014,Male,9,0,,,,
1A1,Hand-GAL4,36304/III,1,1A,1,,6/25/2014,Female,17,0,,,,
4BBB1,Mef-GAL4,36304/III,1,4B,3,,6/25/2014,Male,19,0,,,,
4BBB1,Mef-GAL4,36304/III,1,4B,3,,6/25/2014,Female,28,0,,,,
3BB1,Mhc-GAL4/TM6C,31528/III,1,3B,2,,6/25/2014,Male,12,9,,,,
3BB1,Mhc-GAL4/TM6C,31528/III,1,3B,2,,6/25/2014,Female,13,11,,,,
4D1,Mef-GAL4,31039/III,1,4D,1,,6/25/2014,Male,3,0,,,,
4D1,Mef-GAL4,31039/III,1,4D,1,,6/25/2014,Female,12,0,,,,
3A4,Mhc-GAL4/TM6C,36304/III,4,3A,1,,6/26/2014,Male,5,3,,,,
3A4,Mhc-GAL4/TM6C,36304/III,4,3A,1,,6/26/2014,Female,2,0,,,,
3B4,Mhc-GAL4/TM6C,31528/III,4,3B,1,,6/26/2014,Male,1,5,,,,
3B4,Mhc-GAL4/TM6C,31528/III,4,3B,1,,6/26/2014,Female,3,2,,,,
4BB1,Mef-GAL4,36304/III,1,4B,2,,6/26/2014,Male,5,0,,,,
4BB1,Mef-GAL4,36304/III,1,4B,2,,6/26/2014,Female,7,0,,,,
4AAA1,Mef-GAL4,32371/III,1,4A,3,,6/26/2014,Male,6,0,,,,
4AAA1,Mef-GAL4,32371/III,1,4A,3,,6/26/2014,Female,22,0,,,,
1A1,Hand-GAL4,36304/III,1,1A,1,,6/26/2014,Male,11,0,,,,
1A1,Hand-GAL4,36304/III,1,1A,1,,6/26/2014,Female,14,0,,,,
4BBB1,Mef-GAL4,36304/III,1,4B,3,,6/26/2014,Male,13,0,,,,
4BBB1,Mef-GAL4,36304/III,1,4B,3,,6/26/2014,Female,11,0,,,,
3BB1,Mhc-GAL4/TM6C,31528/III,1,3B,2,,6/26/2014,Male,6,5,,,,
3BB1,Mhc-GAL4/TM6C,31528/III,1,3B,2,,6/26/2014,Female,7,10,,,,
4D1,Mef-GAL4,31039/III,1,4D,1,,6/26/2014,Male,17,0,,,,
4D1,Mef-GAL4,31039/III,1,4D,1,,6/26/2014,Female,5,0,,,,
3A5,Mhc-GAL4/TM6C,36304/III,5,3A,1,,6/27/2014,Male,4,1,,,,
3A5,Mhc-GAL4/TM6C,36304/III,5,3A,1,,6/27/2014,Female,3,3,,,,
3B5,Mhc-GAL4/TM6C,31528/III,5,3B,1,,6/27/2014,Male,7,4,,,,
3B5,Mhc-GAL4/TM6C,31528/III,5,3B,1,,6/27/2014,Female,4,2,,,,
3E3,Mhc-GAL4/TM6C,31529/III,3,3E,1,,6/27/2014,Male,6,8,,,,
3E3,Mhc-GAL4/TM6C,31529/III,3,3E,1,,6/27/2014,Female,7,3,,,,
4AAA1,Mef-GAL4,32371/III,1,4A,3,,6/27/2014,Male,10,0,,,,
4AAA1,Mef-GAL4,32371/III,1,4A,3,,6/27/2014,Female,6,0,,,,
1A1,Hand-GAL4,36304/III,1,1A,1,,6/27/2014,Male,9,0,,,,
1A1,Hand-GAL4,36304/III,1,1A,1,,6/27/2014,Female,9,0,,,,
4E1,Mef-GAL4,31314/III,1,4E,1,,6/27/2014,Male,4,0,,,,
4E1,Mef-GAL4,31314/III,1,4E,1,,6/27/2014,Female,14,0,,,,
3D4,Mhc-GAL4/TM6C,41912/II,4,3D,1,,6/30/2014,Male,1,1,,,,
3D4,Mhc-GAL4/TM6C,41912/II,4,3D,1,,6/30/2014,Female,1,1,,,,
4BB2,Mef-GAL4,36304/III,2,4B,2,,6/30/2014,Male,14,0,,,,
4BB2,Mef-GAL4,36304/III,2,4B,2,,6/30/2014,Female,21,0,,,,
4AAA2,Mef-GAL4,32371/III,2,4A,3,,6/30/2014,Male,32,0,,,,
4AAA2,Mef-GAL4,32371/III,2,4A,3,,6/30/2014,Female,32,0,,,,
1A1,Hand-GAL4,36304/III,1,1A,1,,6/30/2014,Male,12,0,,,,
1A1,Hand-GAL4,36304/III,1,1A,1,,6/30/2014,Female,22,0,,,,
4BBB1,Mef-GAL4,36304/III,1,4B,3,,6/30/2014,Male,18,0,,,,
4BBB1,Mef-GAL4,36304/III,1,4B,3,,6/30/2014,Female,20,0,,,,
3BB1,Mhc-GAL4/TM6C,31528/III,1,3B,2,,6/30/2014,Male,8,11,,,,
3BB1,Mhc-GAL4/TM6C,31528/III,1,3B,2,,6/30/2014,Female,10,7,,,,
4D1,Mef-GAL4,31039/III,1,4D,1,,6/30/2014,Male,20,0,,,,
4D1,Mef-GAL4,31039/III,1,4D,1,,6/30/2014,Female,34,0,,,,
1AA1,Hand-GAL4,36304/III,1,1A,2,,6/30/2014,Male,44,0,,,,
1AA1,Hand-GAL4,36304/III,1,1A,2,,6/30/2014,Female,37,0,,,,
4E1,Mef-GAL4,31314/III,1,4E,1,,6/30/2014,Male,29,0,,,,
4E1,Mef-GAL4,31314/III,1,4E,1,,6/30/2014,Female,33,0,,,,
